total_purchase_count,average_order_value,days_since_first_purchase,days_since_last_purchase,product_category_diversity,loyalty_program_membership,estimated_lifetime_value
12.44,40.71,309.32,52.28,0.0317,Not Enrolled,415.06
43.16,155.18,810.47,82.61,0.475,Not Enrolled,1790.0
0.699,58.41,298.51,203.12,0.121,Enrolled,186.94
9.75,44.82,220.62,37.3,0.216,Not Enrolled,475.64
5.55,48.76,198.76,45.66,0.0633,Enrolled,485.83
22.55,138.3,467.27,55.94,0.4,Not Enrolled,1358.33
2.81,46.46,295.47,119.8,0.086,Not Enrolled,211.0
16.36,131.43,287.49,33.33,0.14,Not Enrolled,1554.7
67.78,56.21,739.79,58.76,0.633,Not Enrolled,880.9
30.87,57.62,235.46,15.49,0.187,Not Enrolled,1092.74
2.42,104.37,619.8,246.24,0.158,Not Enrolled,320.43
15.62,62.61,298.42,35.25,0.424,Not Enrolled,866.8
4.23,134.91,266.44,68.48,0.0948,Enrolled,1036.97
22.93,129.78,457.83,49.0,0.619,Not Enrolled,1558.0
120.12,61.4,332.32,6.88,0.476,Not Enrolled,2287.95
0.758,114.25,89.46,70.21,0.376,Not Enrolled,437.03
2.49,84.91,220.04,97.73,0.271,Not Enrolled,301.34
0.498,19.69,210.04,183.69,0.0569,Enrolled,73.8
81.42,114.89,1313.18,131.59,0.316,Not Enrolled,1466.26
2.04,57.23,56.49,22.35,0.246,Enrolled,509.34
3.1,154.42,202.51,56.52,0.296,Enrolled,1206.38
14.93,72.56,539.61,87.79,0.3,Not Enrolled,667.92
4.33,78.78,259.4,73.77,0.269,Not Enrolled,506.87
4.3,185.25,572.63,171.18,0.209,Not Enrolled,744.4
29.08,160.16,430.77,41.43,0.28,Not Enrolled,1847.17
0.485,78.38,157.45,141.13,0.269,Enrolled,238.91
1.32,60.46,261.15,140.69,0.0527,Enrolled,250.34
0.607,59.63,89.2,80.08,0.505,Enrolled,242.09
1.41,56.0,262.42,128.63,0.356,Enrolled,267.03
28.61,107.99,641.66,78.47,0.225,Not Enrolled,1115.46
1.16,34.47,437.25,230.96,0.0389,Enrolled,140.55
63.51,38.75,366.07,19.69,0.207,Not Enrolled,785.02
3.39,44.3,34.61,8.9,0.212,Not Enrolled,521.0
1.63,49.99,304.85,141.4,0.0326,Enrolled,258.37
2.88,142.47,254.52,88.06,0.188,Not Enrolled,712.07
3.34,72.82,387.19,133.43,0.352,Not Enrolled,336.72
41.36,133.24,1231.13,172.55,0.222,Not Enrolled,1026.58
37.78,27.79,650.2,68.01,0.152,Enrolled,438.27
1.03,63.73,259.61,152.79,0.206,Enrolled,239.69
1.08,27.02,325.59,185.95,0.0674,Enrolled,117.41
16.09,171.3,622.39,95.52,0.5,Not Enrolled,1375.97
10.05,63.55,768.22,166.36,0.382,Not Enrolled,429.09
0.614,132.36,103.37,86.13,0.192,Enrolled,484.66
20.35,191.91,338.03,34.67,0.699,Not Enrolled,2000.54
0.832,48.92,86.54,64.01,0.255,Enrolled,264.13
5.42,73.15,475.77,122.85,0.401,Enrolled,476.57
1.55,45.15,198.14,102.81,0.266,Not Enrolled,209.58
17.97,162.05,475.6,65.35,0.123,Not Enrolled,1494.08
2.32,52.93,487.67,208.3,0.439,Not Enrolled,173.48
7.22,109.94,268.66,55.43,0.0561,Not Enrolled,906.44
2.32,58.22,98.62,38.46,0.0933,Enrolled,447.38
3.17,57.23,307.99,96.48,0.456,Enrolled,400.68
8.55,136.07,842.84,190.71,0.644,Not Enrolled,718.04
9.26,99.82,410.81,85.92,0.198,Not Enrolled,650.2
2.7,41.1,347.92,121.21,0.347,Enrolled,269.8
50.53,120.11,739.69,69.64,0.642,Not Enrolled,1364.98
6.39,166.59,336.22,75.31,0.299,Not Enrolled,1065.07
13.76,66.5,338.21,44.77,0.141,Enrolled,932.85
3.86,108.66,422.88,134.25,0.324,Not Enrolled,488.31
7.63,84.49,220.92,42.46,0.446,Not Enrolled,712.49
3.58,81.79,570.85,187.03,0.608,Not Enrolled,341.93
34.48,77.56,394.31,32.26,0.284,Not Enrolled,1205.07
1.18,128.69,229.03,120.09,0.12,Enrolled,539.86
11.44,178.44,317.59,40.94,0.529,Enrolled,2132.53
1.63,87.04,532.54,227.28,0.165,Enrolled,348.66
0.603,66.45,299.11,215.35,0.14,Enrolled,192.23
5.1,36.51,233.64,55.58,0.214,Enrolled,369.59
1.85,54.1,178.52,92.14,0.0232,Not Enrolled,238.88
38.27,48.16,751.9,89.86,0.283,Not Enrolled,541.84
0.861,33.05,381.99,233.19,0.355,Enrolled,112.34
2.0,88.16,472.16,178.3,0.43,Enrolled,439.97
0.0844,39.43,124.89,262.32,0.0186,Enrolled,78.3
0.965,139.53,113.75,73.61,0.123,Enrolled,589.29
26.46,90.94,401.07,41.86,0.335,Not Enrolled,1065.98
13.41,69.71,476.36,75.28,0.58,Not Enrolled,691.89
6.86,98.94,285.64,55.95,0.407,Enrolled,908.67
53.35,238.74,377.92,17.13,0.433,Not Enrolled,4813.8
245.44,123.99,717.7,20.31,0.407,Not Enrolled,3657.56
2.17,108.88,321.97,130.9,0.0876,Not Enrolled,476.12
3.76,39.83,418.7,139.89,0.0584,Not Enrolled,226.09
15.0,78.71,322.94,41.79,0.154,Not Enrolled,988.46
16.48,27.95,250.48,33.12,0.183,Not Enrolled,324.12
5.47,58.44,343.56,78.11,0.507,Enrolled,544.12
17.73,42.61,633.05,111.07,0.226,Not Enrolled,333.43
16.72,137.47,720.67,116.43,0.201,Not Enrolled,1142.69
19.49,107.39,796.01,138.02,0.624,Not Enrolled,631.12
5.25,82.04,401.58,107.17,0.348,Not Enrolled,492.13
12.66,21.96,699.54,145.37,0.483,Not Enrolled,154.25
1.83,35.17,120.83,59.49,0.172,Not Enrolled,211.7
4.94,79.11,161.41,36.45,0.391,Not Enrolled,724.39
5.89,127.57,140.61,25.42,0.61,Not Enrolled,1237.96
3.23,51.08,175.81,62.35,0.238,Not Enrolled,306.51
0.354,110.11,172.09,161.82,0.284,Enrolled,319.64
2.48,29.68,238.07,90.05,0.0481,Enrolled,217.34
1.98,54.04,361.79,158.71,0.141,Not Enrolled,233.58
63.1,87.45,659.79,48.21,0.442,Not Enrolled,1465.52
1.66,39.63,279.34,156.44,0.0761,Not Enrolled,127.78
12.23,185.32,794.58,163.1,0.572,Not Enrolled,862.34
8.94,71.97,533.84,107.22,0.104,Enrolled,656.42
4.55,291.12,510.87,142.1,0.341,Not Enrolled,1184.89
0.73,24.38,155.97,117.14,0.38,Enrolled,110.73
4.04,161.28,255.22,70.29,0.316,Not Enrolled,963.73
5.58,38.97,445.91,112.16,0.0848,Enrolled,337.43
7.33,99.41,520.1,118.43,0.174,Enrolled,680.4
3.81,41.19,191.59,53.66,0.145,Enrolled,383.6
0.587,180.29,255.55,178.49,0.23,Enrolled,485.26
2.83,43.46,147.75,53.58,0.0389,Enrolled,327.25
1.78,52.44,222.16,94.67,0.118,Enrolled,343.11
7.42,182.53,285.76,52.35,0.506,Not Enrolled,1471.21
5.47,53.44,89.04,17.28,0.128,Not Enrolled,646.71
0.482,43.56,133.27,131.2,0.18,Enrolled,146.71
2.64,51.65,505.31,181.79,0.145,Enrolled,279.71
38.02,117.39,319.98,20.81,0.182,Not Enrolled,1963.1
106.75,98.71,547.65,26.16,0.512,Not Enrolled,1764.14
4.73,94.42,436.89,130.04,0.543,Not Enrolled,416.85
11.99,98.32,195.08,26.36,0.242,Not Enrolled,1036.94
0.898,126.8,42.24,32.9,0.26,Not Enrolled,616.84
284.29,357.36,866.81,25.52,0.593,Not Enrolled,8256.13
27.13,211.21,473.57,42.65,0.351,Enrolled,2965.25
6.24,173.4,511.93,123.67,0.148,Not Enrolled,992.27
0.251,52.44,27.34,56.71,0.107,Enrolled,205.56
26.81,79.67,276.87,21.8,0.427,Not Enrolled,1251.35
8.7,141.03,399.9,81.02,0.283,Not Enrolled,933.38
2.46,169.71,264.95,99.19,0.159,Not Enrolled,753.96
1.92,100.28,47.46,19.18,0.18,Not Enrolled,824.73
6.07,83.84,593.84,163.33,0.114,Not Enrolled,415.22
3.81,65.07,124.87,32.18,0.146,Enrolled,657.2
9.38,153.3,441.54,91.18,0.208,Not Enrolled,907.22
0.497,88.37,37.57,44.26,0.569,Not Enrolled,367.11
4.92,72.46,87.62,16.91,0.244,Enrolled,882.87
57.56,225.04,764.66,63.84,0.447,Not Enrolled,2715.47
4.16,66.39,609.65,190.54,0.403,Not Enrolled,307.8
0.415,186.56,87.03,89.17,0.154,Enrolled,605.25
1.61,152.48,179.26,84.9,0.0623,Not Enrolled,683.38
0.468,111.98,237.98,189.17,0.0671,Enrolled,324.69
50.73,67.24,1494.16,201.21,0.365,Enrolled,688.77
2.97,34.58,468.62,179.01,0.142,Not Enrolled,157.0
14.55,148.4,324.21,41.63,0.48,Not Enrolled,1505.27
0.731,77.26,176.71,125.03,0.151,Enrolled,298.24
2.1,33.79,380.96,170.37,0.185,Not Enrolled,141.97
4.71,87.53,237.83,64.32,0.25,Not Enrolled,573.14
1.37,138.77,464.09,227.31,0.204,Not Enrolled,370.69
0.751,54.25,97.43,88.12,0.046,Not Enrolled,194.23
10.05,23.86,246.22,41.79,0.298,Not Enrolled,263.24
3.85,114.12,270.27,72.95,0.139,Enrolled,880.58
0.888,115.9,193.62,122.7,0.18,Enrolled,415.59
