,std,share_zero,spearman_vs_target,abs_spearman,vif
log_total_purchase_count log_average_order_value^2,0.9999999999999997,0.0,0.8352112640239822,0.8352112640239822,148862.1909891531
log_total_purchase_count log_average_order_value,1.0000000000000002,0.0,0.7866373438080061,0.7866373438080061,1428439.9625782282
log_average_order_value^2,1.0,0.0,0.7489776823349121,0.7489776823349121,76638.14262653241
log_average_order_value,0.9999999999999992,0.0,0.7489776823349121,0.7489776823349121,68455.7542241208
log_average_order_value^3,0.9999999999999998,0.0,0.7489776823349121,0.7489776823349121,11802.552566052464
log_total_purchase_count log_average_order_value log_days_since_first_purchase,0.9999999999999994,0.0,0.7476525050935922,0.7476525050935922,11022685.158046657
log_average_order_value^2 log_days_since_first_purchase,0.9999999999999998,0.0,0.7243837301822004,0.7243837301822004,642938.4039077649
log_total_purchase_count,1.0000000000000004,0.0,0.7109130259692114,0.7109130259692114,1594266.251510255
log_total_purchase_count^3,1.0000000000000004,0.0,0.7109130259692114,0.7109130259692114,443349.18905332073
log_total_purchase_count^2 log_average_order_value,1.0,0.0,0.7007356304549184,0.7007356304549184,320507.9035593581
log_total_purchase_count log_average_order_value log_days_since_last_purchase,0.9999999999999998,0.0,0.6934670057312632,0.6934670057312632,3061861.394527962
log_total_purchase_count log_days_since_first_purchase,0.9999999999999997,0.0,0.6768979679292231,0.6768979679292231,60304528.42578332
log_days_since_last_purchase^2 log_product_category_diversity,0.9999999999999999,0.0,0.6497318470388063,0.6497318470388063,819713.3745161247
log_total_purchase_count^2,0.9999999999999998,0.0,0.6483648346837704,0.6483648346837704,2015017.8526932683
log_total_purchase_count log_days_since_first_purchase^2,0.9999999999999994,0.0,0.6449285816649157,0.6449285816649157,233440395.1078476
log_average_order_value log_days_since_first_purchase,0.9999999999999998,0.0,0.6392072445332797,0.6392072445332797,2506630.277366589
log_total_purchase_count^2 log_days_since_first_purchase,0.9999999999999998,0.0,0.635206749954376,0.635206749954376,25888438.54769471
log_days_since_last_purchase^2,0.9999999999999997,0.0,-0.6053535842433038,0.6053535842433038,12172093.111018708
log_days_since_last_purchase,1.0,0.0,-0.6053535842433038,0.6053535842433038,813314.0493648844
log_days_since_last_purchase^3,0.9999999999999998,0.0,-0.6053535842433038,0.6053535842433038,12245172.680974819
log_total_purchase_count log_days_since_last_purchase,1.0,0.0,0.6045537915436642,0.6045537915436642,18844911.744175036
log_total_purchase_count^2 log_days_since_last_purchase,0.9999999999999998,0.0,0.586745540853332,0.586745540853332,5205361.580984304
log_total_purchase_count log_average_order_value log_product_category_diversity,0.9999999999999998,0.0,-0.5840568217769501,0.5840568217769501,28999.155411660195
log_days_since_last_purchase log_product_category_diversity,1.0,0.0,0.5828213354570243,0.5828213354570243,466633.7885226096
log_total_purchase_count log_days_since_first_purchase log_days_since_last_purchase,0.9999999999999994,0.0,0.5736406178795666,0.5736406178795666,259336903.2825127
log_days_since_first_purchase log_days_since_last_purchase log_product_category_diversity,1.0000000000000002,0.0,0.5261204024473525,0.5261204024473525,5159063.647375934
log_days_since_last_purchase log_product_category_diversity^2,1.0,0.0,-0.5243263761856626,0.5243263761856626,53161.91814083261
