model,kind,spearman,norm_gini,top_decile_capture,decile_mape,mae_raw,r2_raw,r2_log,rmse_log
ridge on log(y),model,0.9929443287365801,0.9949146539144903,0.36940847913599206,0.019552335526399435,75.03028964967532,0.9650154310578758,0.9865718289355612,0.09943426792092654
linear regression on log(y),model,0.9929104732145343,0.99489400103649,0.36940847913599206,0.019066812003937374,75.12936656819666,0.9649510156285686,0.9865791338393477,0.09940721819956076
k-NN (k=10),model,0.9693238089510966,0.9793446937427175,0.36427429789878485,0.08825707608413695,165.69899249999997,0.7234789517814846,0.9206411184876236,0.2417271419062329
linear regression,model,0.9675324723265094,0.9804804293418206,0.3661157182791738,0.7844822930474032,356.2615809461538,0.5620068384338885,,
gradient boosting,advanced,0.9653663396044293,0.971209414003255,0.3631824795571979,0.04204102118934471,166.1510025732576,0.7801610004083939,,
neural network (MLP),advanced,0.9306915588621028,0.9574069589950016,0.35687687622207087,0.16905284340790144,198.7816634342037,0.745517770349259,0.6763920066256204,0.48813198769797767
heuristic (product of two columns),naive,0.8771377948692631,0.9116310471113929,0.3400942115984239,0.8099783139000929,800.2402766055959,-29.25744188285969,-3.022923911045641,1.7210700903002525
decision tree (depth 3),model,0.6984430360145939,0.8012454870794121,0.3123211765877429,0.055070276885953354,355.798659280627,0.5355117843514194,0.559232745735553,0.5696817529493597
mean,naive,-0.04113997831831821,-0.10293367015456503,0.10604353591470729,0.14297245857856183,570.7909546875001,-0.002555052772652111,-0.22994446612594222,0.9516349845378846
median,naive,-0.07578497634021947,-0.09291670600018725,0.10134410420475669,0.3264969551496481,510.5303625,-0.06351977441521539,-0.003851746616217566,0.8597307046165165
