model,spearman,norm_gini,top_decile_capture,decile_mape,mae_raw,r2_raw,r2_log,rmse_log
Polynomial on logs + Ridge,0.9964977054241224,0.9975937441822954,0.37003901336487793,0.007272518610681282,47.627579421502375,0.9876954337270905,0.9939961108259134,0.06648810903681725
SVR (RBF),0.9955270984274246,0.9944111660824245,0.3687783902213295,0.02140616331713277,67.26064530461805,0.8724368793124054,0.9860991993416374,0.10116902294712406
Linear (log features),0.992911516184926,0.9949018121567671,0.36940847913599206,0.01910970207723702,75.12304628906254,0.9649886132783793,0.9866141900374537,0.09927730416392146
XGBoost,0.9872069837672441,0.9898403871844356,0.3652584883992957,0.03058138136521347,110.33834214683156,0.8931276957873855,0.9726750216751378,0.14184288666968278
HistGradientBoosting,0.9852759885399351,0.9878508183007876,0.36670672703182483,0.02884459978188969,125.74910101101224,0.7992715595181762,0.9663439217518693,0.15741981670559207
Random Forest,0.9796379601331953,0.9844342250760203,0.36181002112094646,0.04923960573105327,136.50288959546245,0.8092503734914678,0.9545651320743619,0.1829036123962574
k-NN (k=10),0.9673820267771751,0.9779160983122116,0.3630566245442919,0.09014025777243337,172.26003082331678,0.6864592517120781,0.9153953865980854,0.2495885572934749
Linear (raw features),0.9621950068929213,0.9684820434949059,0.3480514239651684,0.23014133639623147,500.50370979222606,-24.23248074981898,0.8494457844502322,0.3329462350043084
Baseline: purchases x AOV,0.8781259800186327,0.9121766498001468,0.34155561003403506,0.7842546136345152,726.2265157857933,-16.098202412668567,-3.038411315769795,1.7243797855567917
Baseline: train mean,,-0.07563456056686732,0.09708587140046944,0.16950062270603466,569.730443125,0.0,0.0,0.8580797399954676
